TIME,TORQUE,PASD,PASP
4553, 491.00, 0.00, 0.00
4580, 491.00, 0.00, 0.00
4605, 483.00, 0.00, 0.00
4631, 492.00, 0.00, 0.00
4658, 492.00, 0.00, 0.00
4683, 494.00, 0.00, 0.00
4710, 496.00, 0.00, 0.00
4736, 493.00, 0.00, 0.00
4761, 493.00, 0.00, 0.00
4788, 488.00, 0.00, 0.00
4813, 491.00, 0.00, 0.00
4840, 489.00, 0.00, 0.00
4866, 491.00, 0.00, 0.00
4891, 494.00, 0.00, 0.00
4918, 491.00, 0.00, 0.00
4943, 485.00, 0.00, 0.00
4970, 484.00, 0.00, 0.00
4996, 486.00, 0.00, 0.00
5021, 493.00, 0.00, 0.00
5048, 494.00, 0.00, 0.00
5073, 491.00, 0.00, 0.00
5100, 493.00, 0.00, 0.00
5126, 491.00, 0.00, 0.00
5151, 492.00, 0.00, 0.00
5178, 490.00, 0.00, 0.00
5203, 489.00, 0.00, 0.00
5229, 492.00, 0.00, 0.00
5256, 498.00, 0.00, 0.00
5281, 496.00, 0.00, 0.00
5308, 489.00, 0.00, 0.00
5334, 490.00, 0.00, 0.00
5359, 492.00, 0.00, 0.00
5386, 491.00, 0.00, 0.00
5411, 487.00, 0.00, 0.00
5438, 487.00, 0.00, 0.00
5464, 500.00, 0.00, 0.00
5489, 488.00, 0.00, 0.00
5516, 484.00, 0.00, 0.00
5541, 488.00, 0.00, 0.00
5568, 482.00, 0.00, 0.00
5594, 491.00, 0.00, 0.00
5619, 490.00, 0.00, 989.00
5648, 490.00, 0.00, 997.00
5676, 497.00, 0.00, 996.00
5704, 494.00, 0.00, 991.00
5732, 494.00, 0.00, 992.00
5760, 496.00, 0.00, 998.00
5788, 496.00, 0.00, 992.00
5816, 500.00, 0.00, 994.00
5844, 497.00, 0.00, 996.00
5872, 493.00, 0.00, 988.00
5901, 495.00, 0.00, 992.00
5928, 492.00, 0.00, 996.00
5956, 487.00, 0.00, 993.00
5985, 497.00, 0.00, 996.00
6012, 490.00, 0.00, 990.00
6041, 485.00, 0.00, 987.00
6069, 492.00, 0.00, 995.00
6096, 489.00, 0.00, 994.00
6125, 493.00, 0.00, 997.00
6153, 493.00, 0.00, 991.00
6181, 501.00, 999.00, 997.00
6211, 497.00, 994.00, 1000.00
6243, 496.00, 999.00, 997.00
6273, 491.00, 990.00, 994.00
6303, 493.00, 997.00, 1000.00
6334, 495.00, 999.00, 999.00
6365, 494.00, 994.00, 993.00
6394, 490.00, 994.00, 994.00
6424, 496.00, 989.00, 992.00
6455, 490.00, 993.00, 996.00
6484, 493.00, 998.00, 999.00
6515, 495.00, 993.00, 1000.00
6546, 496.00, 992.00, 1002.00
6578, 497.00, 997.00, 999.00
6607, 493.00, 992.00, 993.00
6638, 490.00, 994.00, 999.00
6668, 502.00, 996.00, 1001.00
6700, 495.00, 994.00, 999.00
6729, 497.00, 998.00, 997.00
6759, 498.00, 988.00, 994.00
6790, 493.00, 994.00, 991.00
6819, 498.00, 992.00, 998.00
6850, 498.00, 1000.00, 1003.00
6882, 497.00, 997.00, 997.00
6913, 493.00, 998.00, 998.00
6942, 499.00, 993.00, 1000.00
6974, 496.00, 993.00, 995.00
7004, 495.00, 997.00, 1000.00
7035, 499.00, 1000.00, 1000.00
7067, 503.00, 1001.00, 1000.00
7100, 500.00, 997.00, 997.00
7130, 503.00, 999.00, 997.00
7159, 500.00, 995.00, 993.00
7190, 496.00, 994.00, 997.00
7220, 507.00, 996.00, 998.00
7250, 504.00, 994.00, 994.00
7280, 501.00, 993.00, 994.00
7311, 500.00, 993.00, 999.00
7341, 496.00, 995.00, 995.00
7371, 503.00, 999.00, 996.00
7401, 511.00, 998.00, 999.00
7432, 498.00, 995.00, 996.00
7461, 502.00, 997.00, 998.00
7491, 495.00, 991.00, 996.00
7522, 499.00, 991.00, 994.00
7552, 502.00, 995.00, 1000.00
7583, 500.00, 997.00, 994.00
7613, 509.00, 995.00, 995.00
7644, 504.00, 1001.00, 999.00
7674, 499.00, 992.00, 997.00
7705, 501.00, 998.00, 995.00
7735, 502.00, 996.00, 997.00
7766, 505.00, 990.00, 996.00
7795, 503.00, 1000.00, 998.00
7826, 507.00, 995.00, 1000.00
7858, 495.00, 989.00, 992.00
7887, 500.00, 991.00, 991.00
7918, 501.00, 999.00, 997.00
7948, 502.00, 992.00, 999.00
7979, 503.00, 998.00, 1000.00
8009, 503.00, 998.00, 1001.00
8041, 501.00, 994.00, 993.00
8071, 502.00, 1000.00, 1001.00
8103, 509.00, 994.00, 998.00
8133, 499.00, 997.00, 995.00
8164, 505.00, 998.00, 1001.00
8195, 498.00, 997.00, 999.00
8224, 506.00, 991.00, 991.00
8255, 488.00, 987.00, 992.00
8285, 498.00, 995.00, 1005.00
8316, 498.00, 997.00, 1001.00
8347, 510.00, 997.00, 999.00
8378, 502.00, 999.00, 995.00
8408, 497.00, 996.00, 1000.00
8439, 502.00, 994.00, 991.00
8469, 505.00, 994.00, 1005.00
8501, 501.00, 994.00, 993.00
8530, 501.00, 997.00, 997.00
8561, 501.00, 995.00, 995.00
8591, 500.00, 992.00, 992.00
8621, 496.00, 1000.00, 1000.00
8653, 493.00, 997.00, 1000.00
8684, 503.00, 1002.00, 995.00
8716, 496.00, 998.00, 994.00
8745, 502.00, 999.00, 996.00
8776, 498.00, 993.00, 1000.00
8807, 497.00, 992.00, 986.00
8838, 501.00, 996.00, 995.00
8867, 503.00, 995.00, 1000.00
8899, 503.00, 1001.00, 1000.00
8931, 506.00, 997.00, 1000.00
8963, 506.00, 992.00, 1000.00
8993, 504.00, 998.00, 999.00
9023, 493.00, 989.00, 994.00
9054, 506.00, 999.00, 1000.00
9084, 503.00, 995.00, 996.00
9115, 498.00, 997.00, 992.00
9145, 504.00, 997.00, 999.00
9176, 499.00, 992.00, 998.00
9205, 503.00, 993.00, 995.00
9236, 506.00, 1000.00, 1002.00
9268, 507.00, 1002.00, 999.00
9299, 505.00, 996.00, 997.00
9329, 506.00, 1000.00, 994.00
9361, 507.00, 998.00, 1001.00
9392, 500.00, 992.00, 1000.00
9422, 505.00, 997.00, 993.00
9453, 509.00, 1002.00, 1006.00
9485, 506.00, 1001.00, 998.00
9517, 497.00, 1000.00, 998.00
9547, 507.00, 991.00, 987.00
9578, 501.00, 999.00, 992.00
9608, 503.00, 994.00, 996.00
9638, 503.00, 993.00, 995.00
9668, 511.00, 997.00, 999.00
9699, 501.00, 997.00, 993.00
9729, 501.00, 997.00, 999.00
9759, 497.00, 990.00, 989.00
9789, 506.00, 992.00, 998.00
9819, 505.00, 995.00, 1000.00
9850, 505.00, 995.00, 987.00
9880, 502.00, 997.00, 999.00
9911, 495.00, 996.00, 996.00
9940, 496.00, 992.00, 996.00
9971, 502.00, 998.00, 1000.00
10002, 499.00, 997.00, 997.00
10034, 493.00, 992.00, 997.00
10064, 500.00, 1000.00, 999.00
10097, 503.00, 997.00, 997.00
10128, 494.00, 1000.00, 998.00
10161, 491.00, 1000.00, 1000.00
10193, 492.00, 993.00, 999.00
10225, 494.00, 0.00, 991.00
10254, 497.00, 0.00, 997.00
10283, 492.00, 0.00, 996.00
10312, 485.00, 0.00, 987.00
10341, 485.00, 0.00, 994.00
10371, 491.00, 0.00, 995.00
10399, 491.00, 0.00, 996.00
10429, 495.00, 0.00, 990.00
10458, 485.00, 0.00, 992.00
10486, 493.00, 0.00, 997.00
10516, 488.00, 0.00, 998.00
10545, 499.00, 0.00, 1001.00
10575, 472.00, 0.00, 979.00
10604, 494.00, 3.00, 998.00
10634, 493.00, 0.00, 997.00
10662, 488.00, 995.00, 999.00
10694, 488.00, 991.00, 997.00
10725, 489.00, 995.00, 992.00
10756, 488.00, 995.00, 1000.00
10788, 491.00, 1000.00, 1002.00
10821, 495.00, 0.00, 993.00
10851, 488.00, 0.00, 993.00
10880, 492.00, 0.00, 999.00
10909, 483.00, 0.00, 987.00
10938, 493.00, 0.00, 995.00
10968, 488.00, 0.00, 1000.00
